Reduced Drift Field (V/cm/bar);Dl (sqrt(bar)*um*1/sqrt(cm))
20.074276778733385; 774.3954480796586
21.44253322908522; 765.8605974395449
22.673964034401877; 758.1792318634424
23.905394839718525; 750.49786628734
24.863174354964812; 744.5234708392603
25.8209538702111; 752.2048364153626
27.189210320562943; 759.8862019914651
28.14698983580923; 767.5675675675675
29.241594996090697; 775.24893314367
29.925723221266615; 782.076813655761
30.473025801407346; 770.1280227596018
31.020328381548083; 759.8862019914651
31.704456606724; 750.4978662873399
32.11493354182956; 740.2560455192034
32.66223612197029; 729.1607396870554
33.07271305707584; 718.0654338549075
33.75684128225176; 706.9701280227596
34.16731821735731; 697.5817923186344
34.57779515246286; 686.4864864864866
35.26192337763879; 678.8051209103841
36.21970289288507; 669.4167852062589
37.177482408131354; 658.3214793741109
37.99843627834245; 647.2261735419629
39.09304143862393; 635.2773826458036
40.05082095387021; 624.1820768136557
41.692728694292406; 631.0099573257469
43.06098514464425; 635.2773826458039
44.70289288506646; 640.3982930298721
45.66067240031275; 634.4238975817923
46.344800625488666; 625.8890469416785
46.892103205629404; 617.3541963015647
47.576231430805315; 608.8193456614508
48.123534010946045; 600.2844950213372
48.80766223612197; 591.7496443812233
49.3549648162627; 583.2147937411097
49.902267396403445; 578.9473684210528
51.817826426896005; 576.3869132290185
53.45973416731822; 574.6799431009956
54.82799061767005; 572.9729729729729
56.19624706802189; 566.1450924608818
57.564503518373726; 558.4637268847794
59.06958561376075; 549.9288762446657
60.3010164190774; 543.1009957325746
61.53244722439406; 534.5661450924609
62.763878029710725; 526.0312944523471
63.85848318999217; 518.3499288762447
64.95308835027365; 510.6685633001422
66.04769351055512; 500.42674253200573
66.86864738076623; 491.891891891892
67.9632525410477; 482.5035561877668
69.05785770132916; 473.9687055476529
69.87881157154027; 465.43385490753906
70.69976544175137; 455.1920341394025
71.52071931196247; 446.65718349928875
72.47849882720874; 437.26884779516354
73.43627834245504; 427.8805120910383
74.25723221266614; 419.3456614509246
74.80453479280688; 411.6642958748223
75.89913995308835; 416.78520625889064
77.54104769351056; 421.0526315789475
78.9093041438624; 425.3200568990044
79.7302580140735; 427.8805120910383
80.5512118842846; 424.4665718349929
81.64581704456607; 421.0526315789475
82.87724784988272; 416.78520625889064
84.24550430023457; 411.6642958748221
85.4769351055512; 407.3968705547654
86.84519155590306; 403.9829302987198
88.21344800625488; 400.56899004267416
89.58170445660673; 396.3015647226173
90.67630961688819; 390.3271692745377
92.04456606724004; 382.64580369843543
93.27599687255669; 374.11095305832146
94.50742767787334; 367.2830725462304
95.73885848318999; 363.01564722617354
97.24394057857701; 359.6017069701279
98.88584831899924; 357.8947368421052
100.52775605942142; 356.1877667140825
102.443315089914; 355.33428165007103
103.81157154026583; 355.33428165007103
104.63252541047693; 354.4807965860598
106.00078186082877; 350.2133712660029
107.50586395621579; 348.5064011379802
109.14777169663802; 345.0924608819346
110.37920250195465; 340.8250355618775
111.47380766223611; 333.99715504978667
112.56841282251759; 327.1692745376956
113.79984362783426; 321.19487908961605
114.89444878811571; 314.3669985775248
116.39953088350273; 315.22048364153625
118.04143862392493; 316.9274537695592
119.68334636434716; 317.78093883357064
121.05160281469898; 313.51351351351354
122.69351055512118; 309.24608819345667
124.33541829554338; 304.97866287339957
125.97732603596558; 302.41820768136563
127.6192337763878; 301.56472261735416
129.26114151681003; 301.56472261735416
130.35574667709147; 301.56472261735416
131.99765441751367; 305.83214793741104
133.77638780297104; 309.24608819345667
135.00781860828772; 312.6600284495023
136.37607505863954; 316.07396870554794
137.47068021892105; 315.22048364153625
138.8389366692729; 316.0739687055477
139.659890539484; 317.7809388335704
140.75449569976544; 315.22048364153625
142.1227521501173; 313.51351351351354
143.49100860046912; 310.9530583214794
144.5856137607506; 310.9530583214794
145.6802189210321; 304.97866287339957
146.7748240813135; 299.85775248933146
147.86942924159501; 294.7368421052631
149.10086004691166; 289.6159317211948
149.51133698201718; 285.3485064011379
150.60594214229866; 289.6159317211948
151.70054730258016; 294.7368421052631
152.9319781078968; 299.0042674253202
154.16340891321346; 303.2716927453771
154.71071149335418; 306.6856330014225
155.80531665363566; 301.56472261735416
156.89992181391713; 296.44381223328605
157.99452697419858; 291.3229018492177
159.36278342455043; 285.3485064011379
160.4573885848319; 280.2275960170696
161.55199374511338; 276.81365576102417
162.92025019546523; 270.83926031294436
164.15168100078185; 266.5718349928877
165.10946051602815; 267.42532005689895
166.47771696637997; 269.13229018492166
167.57232212666145; 272.5462304409673
168.9405785770133; 275.9601706970127
170.4456606724003; 278.52062588904687
172.2243940578577; 280.22759601707
173.59265050820954; 281.08108108108104
174.687255668491; 282.78805120910397
175.91868647380767; 277.66714082503563
177.15011727912432; 273.39971550497853
178.65519937451134; 269.13229018492166
180.02345582486316; 264.864864864865
181.5285379202502; 262.3044096728306
183.1704456606724; 259.7439544807967
184.81235340109464; 258.03698435277397
185.90695856137606; 257.1834992887625
187.2752150117279; 257.1834992887625
189.1907740422205; 257.1834992887625
190.5590304925723; 260.5974395448079
192.20093823299453; 264.01137980085355
193.56919468334635; 269.13229018492166
194.66379984362783; 274.25320056899
