Reduced Drift Field (V/cm/bar);Drift Velocity (mm/us)
19.968295143392393; 1.5343915343915597
23.237086447203154; 1.6931216931217108
25.961027731455722; 1.7989417989418257
28.957136680872065; 1.7989417989418257
31.68097502727851; 1.8518518518518903
34.94956045539702; 1.9047619047619406
37.94577234265948; 1.957671957671991
40.80569452164781; 1.957671957671991
44.074382887612444; 2.06349206349212
47.206678607456794; 2.06349206349212
50.47526403557531; 2.1164021164021705
54.28849360755973; 2.1164021164021847
57.96563934696229; 2.169312169312235
61.506701253782936; 2.27513227513235
65.04745434706523; 2.2222222222222996
68.58841331603976; 2.2751322751323784
71.99308257674015; 2.275132275132364
75.39785477528667; 2.3280423280424287
79.61974759640128; 2.380952380952479
83.56916393881373; 2.3809523809524933
87.65486998950034; 2.4338624338625436
91.33180985321063; 2.3809523809525075
94.87276882218517; 2.433862433862558
98.95837193502564; 2.433862433862572
102.36314413357216; 2.4867724867726366
106.17627076771039; 2.433862433862572
110.8067239001091; 2.4867724867726366
117.34379181849998; 2.539682539682687
122.79136557346675; 2.5925925925927515
127.69419224672143; 2.645502645502816
132.59691598212999; 2.6455026455028303
137.7721161962407; 2.6984126984128807
142.8111296399234; 2.7513227513229452
148.12251662446215; 2.80423280423301
153.02534329771677; 2.857142857143046
157.11115228624953; 2.962962962963175
162.55852016552407; 2.910052910053139
168.41455129392872; 2.910052910053139
173.8619191732032; 2.857142857143103
180.3990900294402; 2.9629629629632177
186.93605500998495; 2.9629629629632177
195.1072612356659; 2.962962962963232
